ID, filimingDate, videoType, link
014103,NULL,'Lecture','https://video.technion.ac.il/Courses/MechHand.html'
014104,NULL,'Lecture','https://video.technion.ac.il/Courses/Hozek1.html'
014104,NULL,'Tutorial','https://video.technion.ac.il/Courses/Materials_Strength_1_Tut.html'
014108,NULL,'Tutorial','https://video.technion.ac.il/Courses/Struct_Analysis_Tut.html'
014211,NULL,'Lecture','https://video.technion.ac.il/Courses/Fluid_Mechanics.html'
014211,NULL,'Tutorial','https://video.technion.ac.il/Courses/Fluid_Mechanics_Tut.html'
014318,NULL,'Lecture','https://video.technion.ac.il/Courses/EnvInTechEra.html'
014318,NULL,'Lecture','https://video.technion.ac.il/Courses/EnvInTechEra2009.html'
014505,NULL,'Lecture','https://video.technion.ac.il/Courses/Building_Materials.html'
014603,NULL,'Lecture','https://video.technion.ac.il/Courses/EngEconomics.html'
014848,NULL,'Lecture','https://video.technion.ac.il/Courses/Intro_Geodesy.html'
034000,NULL,'Workshop','https://video.technion.ac.il/Courses/Tensor_Analysis.html'
034010,NULL,'Lecture','https://video.technion.ac.il/Courses/Dynamics.html'
034010,NULL,'Tutorial','https://video.technion.ac.il/Courses/Dynamics_Tut.html'
034012,NULL,'Lecture','https://video.technion.ac.il/Courses/Thermo1.html'
034013,NULL,'Lecture','https://video.technion.ac.il/Courses/Zrima1.html'
034013,NULL,'Tutorial','https://video.technion.ac.il/Courses/FluidMechanics1_Tut.html'
034014,NULL,'Lecture','https://video.technion.ac.il/Courses/HeatTransfer.html'
034014,NULL,'Tutorial','https://video.technion.ac.il/Courses/HeatTransfer_Tut.html'
034028,NULL,'Lecture','https://video.technion.ac.il/Courses/Solid-Mech1.html'
034029,NULL,'Lecture','https://video.technion.ac.il/Courses/Solid-Mech2.html'
034029,NULL,'Tutorial','https://video.technion.ac.il/Courses/SolidMechanics2_Tut.html'
034035,NULL,'Tutorial','https://video.technion.ac.il/Courses/Thermodynamics1_Tut.html'
035027,NULL,'Lecture','https://video.technion.ac.il/Courses/ShitotN.html'
036003,NULL,'Lecture','https://video.technion.ac.il/Courses/IntroContMech.html'
044102,NULL,'Lecture','https://video.technion.ac.il/Courses/Safety_EELab.html'
044105,NULL,'Lecture','https://video.technion.ac.il/Courses/TheoryElectCirc.html'
044105,NULL,'Tutorial','https://video.technion.ac.il/Courses/Theory_of_Elec_Circ_Tut.html'
044125,NULL,'Tutorial','https://video.technion.ac.il/Courses/BasicSemiconductorDevics_Tut.html'
044127,NULL,'Lecture','https://video.technion.ac.il/Courses/Semi.html'
044130,NULL,'Lecture','https://video.technion.ac.il/Courses/OtotMa.html'
044130,NULL,'Tutorial','https://video.technion.ac.il/Courses/Signals_and_Systems_Tut.html'
044140,NULL,'Lecture','https://video.technion.ac.il/Courses/ElectroMagnetFields.html'
044140,NULL,'Tutorial','https://video.technion.ac.il/Courses/EM_Fields_Tut.html'
044142,NULL,'Workshop','https://video.technion.ac.il/Courses/ElecCir_Workshop.html'
044145,NULL,'Lecture','https://video.technion.ac.il/Courses/DigSys.html'
044147,NULL,'Lecture','https://video.technion.ac.il/Courses/Mitug.html'
044149,NULL,'Lecture','https://video.technion.ac.il/Courses/EnergyConv.html'
044151,NULL,'Lecture','https://video.technion.ac.il/Courses/EE_Lab_1_ch.html'
044191,NULL,'Lecture','https://video.technion.ac.il/Courses/Control-Sys1.html'
044198,NULL,'Lecture','https://video.technion.ac.il/Courses/IntroDigitalSignalProc.html'
044198,NULL,'Tutorial','https://video.technion.ac.il/Courses/IntroDigSigProc_Tut.html'
044202,NULL,'Lecture','https://video.technion.ac.il/Courses/OtotAk.html'
044202,NULL,'Tutorial','https://video.technion.ac.il/Courses/OtotAk_Tut.html'
044214,NULL,'Workshop','https://video.technion.ac.il/Courses/RecTransTechniques_Workshop.html'
044262,NULL,'Lecture','https://video.technion.ac.il/Courses/Logic_Design_and__Intro_Comp.html'
044262,NULL,'Workshop','https://video.technion.ac.il/Courses/Logic-Design_Workshop.html'
045336,NULL,'Tutorial','https://video.technion.ac.il/Courses/HighSpeedNetProc_Tut.html'
046200,NULL,'Lecture','https://video.technion.ac.il/Courses/Image_Proc_and_Analysys.html'
046201,NULL,'Lecture','https://video.technion.ac.il/Courses/Random_Signal_Proc.html'
046201,NULL,'Tutorial','https://video.technion.ac.il/Courses/Random_Signal_Proc_Tut.html'
054132,NULL,'Lecture','https://video.technion.ac.il/Courses/MiniProject.html'
054306,NULL,'Tutorial','https://video.technion.ac.il/Courses/Principles_Chem_Eng_2M_Tut.html'
054307,NULL,'Lecture','https://video.technion.ac.il/Courses/Separation_Proc.html'
054374,NULL,'Lecture','https://video.technion.ac.il/Courses/ProcAnalysisNumMethods.html'
054402,NULL,'Lecture','https://video.technion.ac.il/Courses/DesignAnalysisM-CE.html'
054410,NULL,'Lecture','https://video.technion.ac.il/Courses/PlantDesigmM.html'
084220,NULL,'Lecture','https://video.technion.ac.il/Courses/Flight_Mechanics_1.html'
084221,NULL,'Lecture','https://video.technion.ac.il/Courses/Flight_Mechanics_2.html'
084221,NULL,'Tutorial','https://video.technion.ac.il/Courses/Flight_Mechanics_2_Tut.html'
084225,NULL,'Lecture','https://video.technion.ac.il/Courses/Dynamics_AE.html'
084225,NULL,'Tutorial','https://video.technion.ac.il/Courses/Dynamics_AE_Tut.html'
084312,NULL,'Tutorial','https://video.technion.ac.il/Courses/CompressAerodyn_Tut.html'
084313,NULL,'Tutorial','https://video.technion.ac.il/Courses/ViscFlow_HeatTransfer_Tut.html'
084402,NULL,'Lecture','https://video.technion.ac.il/Courses/RocketPropulsion.html'
084402,NULL,'Tutorial','https://video.technion.ac.il/Courses/RocketPropulsion_Tut.html'
084505,NULL,'Lecture','https://video.technion.ac.il/Courses/Solid-Mech-Ae.html'
084505,NULL,'Tutorial','https://video.technion.ac.il/Courses/Solid-Mech-Ae_Tut.html'
094219,NULL,'Lecture','https://video.technion.ac.il/Courses/SoftwareEng.html'
094412,NULL,'Lecture','https://video.technion.ac.il/Courses/ProbabilityM.html'
094423,NULL,'Lecture','https://video.technion.ac.il/Courses/Statistics.html'
094591,NULL,'Lecture','https://video.technion.ac.il/Courses/Intro_Economics.html'
104003,NULL,'Lecture','https://video.technion.ac.il/Courses/Hedva1.html'
104004,NULL,'Lecture','https://video.technion.ac.il/Courses/Hedva2.html'
104004,NULL,'Tutorial','https://video.technion.ac.il/Courses/Hedva2_Tut.html'
104010,NULL,'Lecture','https://video.technion.ac.il/Courses/Hedva1M.html'
104010,NULL,'Tutorial','https://video.technion.ac.il/Courses/Hedva1M_Tut.html'
104011,NULL,'Lecture','https://video.technion.ac.il/Courses/Hedva2M.html'
104011,NULL,'Appendix','https://video.technion.ac.il/Courses/Hedva2M_Sup.html'
104011,NULL,'Tutorial','https://video.technion.ac.il/Courses/Hedva2M_Tut.html'
104012,NULL,'Lecture','https://video.technion.ac.il/Courses/Hedva1T.html'
104012,NULL,'Tutorial','https://video.technion.ac.il/Courses/Hedva1T_Tut.html'
104013,NULL,'Tutorial','https://video.technion.ac.il/Courses/Hedva2T_Tut.html'
104016,NULL,'Lecture','https://video.technion.ac.il/Courses/Algebra1M.html'
104016,NULL,'Tutorial','https://video.technion.ac.il/Courses/Algebra1M_Tut.html'
104017,NULL,'QA','https://video.technion.ac.il/Courses/Algebra1M_Q.html'
104034,NULL,'Lecture','https://video.technion.ac.il/Courses/Probability_H.html'
104094,NULL,'Lecture','https://video.technion.ac.il/Courses/Math_for_med_2.html'
104094,NULL,'Tutorial','https://video.technion.ac.il/Courses/Math_for_med_2_Tut.html'
104131,NULL,'Lecture','https://video.technion.ac.il/Courses/MadarH.html'
104131,NULL,'Tutorial','https://video.technion.ac.il/Courses/MaDaRH_Tut.html'
104134,NULL,'Lecture','https://video.technion.ac.il/Courses/AlgModH.html'
104135,NULL,'Lecture','https://video.technion.ac.il/Courses/Ord_Diff_Equations.html'
104167,NULL,'Lecture','https://video.technion.ac.il/Courses/Algebra_A.html'
104171,NULL,'Lecture','https://video.technion.ac.il/Courses/LinearAlgebra2.html'
104172,NULL,'Lecture','https://video.technion.ac.il/Courses/IntroGroupTheory.html'
104195,NULL,'Lecture','https://video.technion.ac.il/Courses/Infi1.html'
104214,NULL,'Lecture','https://video.technion.ac.il/Courses/Fourier.html'
104214,NULL,'Tutorial','https://video.technion.ac.il/Courses/Fourier_Tut.html'
104215,NULL,'Lecture','https://video.technion.ac.il/Courses/FuncMru.html'
104216,NULL,'Lecture','https://video.technion.ac.il/Courses/MadarHP.html'
104222,NULL,'Lecture','https://video.technion.ac.il/Courses/Probability_Theory.html'
104281,NULL,'Lecture','https://video.technion.ac.il/Courses/Infi2.html'
104281,NULL,'Tutorial','https://video.technion.ac.il/Courses/Infi2_Tut.html'
104286,NULL,'Lecture','https://video.technion.ac.il/Courses/Combinatorics.html'
104290,NULL,'Lecture','https://video.technion.ac.il/Courses/SetTheory.html'
104290,NULL,'Lecture','https://video.technion.ac.il/Courses/SetTheory2010.html'
104290,NULL,'Tutorial','https://video.technion.ac.il/Courses/SetTheory2010_Tut.html'
113013,NULL,'Lecture','https://video.technion.ac.il/Courses/PhysMech.html'
113014,NULL,'Lecture','https://video.technion.ac.il/Courses/Hashlamot2.html'
114010,NULL,'Lecture','https://video.technion.ac.il/Courses/ChallengesInScience.html'
114010,NULL,'Lecture','https://video.technion.ac.il/Courses/ChallengesInScience-2009.html'
114010,NULL,'Lecture','https://video.technion.ac.il/Courses/ChallengesInScience-2010.html'
114010,NULL,'Lecture','https://video.technion.ac.il/Courses/ChallengesInScience-2011.html'
114051,NULL,'Lecture','https://video.technion.ac.il/Courses/Physics1+1M.html'
114051,NULL,'Tutorial','https://video.technion.ac.il/Courses/Physics1_Tut.html'
114052,NULL,'Lecture','https://video.technion.ac.il/Courses/Physics2.html'
114071,NULL,'Tutorial','https://video.technion.ac.il/Courses/Physics1M_Tut.html'
114072,NULL,'Lecture','https://video.technion.ac.il/Courses/Physics2M.html'
114073,NULL,'Lecture','https://video.technion.ac.il/Courses/Physics3_3H.html'
114073,NULL,'Tutorial','https://video.technion.ac.il/Courses/Physics3H_Tut.html'
114203,NULL,'Lecture','https://video.technion.ac.il/Courses/Quantum_Theory1.html'
114204,NULL,'Lecture','https://video.technion.ac.il/Courses/Quantum2.html'
114210,NULL,'Lecture','https://video.technion.ac.il/Courses/Optics.html'
114213,NULL,'Lecture','https://video.technion.ac.il/Courses/Thermo.html'
114245,NULL,'Lecture','https://video.technion.ac.il/Courses/ElectroMagneticTheory.html'
115203,NULL,'Lecture','https://video.technion.ac.il/Courses/Quantum_Physics_1.html'
115204,NULL,'Lecture','https://video.technion.ac.il/Courses/Quantum_Physics_2.html'
115204,NULL,'Lecture','https://video.technion.ac.il/Courses/Quantum_Physics_2_2011.html'
124011,NULL,'Lecture','https://video.technion.ac.il/Courses/Chemistry11.html'
124408,NULL,'Lecture','https://video.technion.ac.il/Courses/Intro_QuantumChem.html'
124906,NULL,'Lecture','https://video.technion.ac.il/Courses/Organic_Chem_Lab1.html'
125001,NULL,'Lecture','https://video.technion.ac.il/Courses/GeneralChemistry.html'
125102,NULL,NULL,'https://video.technion.ac.il/Courses/Analytical_ChemLab.html'
134010,NULL,'Lecture','https://video.technion.ac.il/Courses/EngBiology1.html'
134019,NULL,'Lecture','https://video.technion.ac.il/Courses/Protein_Biochemistry.html'
134082,NULL,'Lecture','https://video.technion.ac.il/Courses/Molecular_Biology.html'
134113,NULL,'Lecture','https://video.technion.ac.il/Courses/Metabolic_pathways.html'
134114,NULL,NULL,'https://video.technion.ac.il/Courses/Biochem_Metabolism_Lab.html'
134117,NULL,'Tutorial','https://video.technion.ac.il/Courses/Topics_Animal_phys_Tut.html'
206816,NULL,'Lecture','https://video.technion.ac.il/Courses/IDesign2003.html'
206816,NULL,'Lecture','https://video.technion.ac.il/Courses/IDesign2004.html'
206816,NULL,'Lecture','https://video.technion.ac.il/Courses/IDesign2005.html'
206816,NULL,'Lecture','https://video.technion.ac.il/Courses/IDesign2006.html'
206816,NULL,'Lecture','https://video.technion.ac.il/Courses/IDesign2008.html'
206816,NULL,'Lecture','https://video.technion.ac.il/Courses/IDesign09.html'
206816,NULL,'Lecture','https://video.technion.ac.il/Courses/IDesign2010.html'
206816,NULL,'Lecture','https://video.technion.ac.il/Courses/IDesign2011.html'
206816,NULL,'Lecture','https://video.technion.ac.il/Courses/IDesign2012.html'
206816,NULL,'Lecture','https://video.technion.ac.il/Courses/IDesign2013.html'
234107,NULL,'Lecture','https://video.technion.ac.il/Courses/Num_Analysis1.html'
234111,NULL,'Lecture','https://video.technion.ac.il/Courses/Intro_CS.html'
234112,NULL,'Lecture','https://video.technion.ac.il/Courses/Programming_C.html'
234114,NULL,'Lecture','https://video.technion.ac.il/Courses/Intro_CS.html'
234118,NULL,'Lecture','https://video.technion.ac.il/Courses/Atam.html'
234120,NULL,'QA','https://video.technion.ac.il/Courses/OPSYS_Q.html'
234120,NULL,'Tutorial','https://video.technion.ac.il/Courses/OpSys_Tut.html'
234122,NULL,'Lecture','https://video.technion.ac.il/Courses/Matam.html'
234123,NULL,'Tutorial','https://video.technion.ac.il/Courses/OpSystems_Tut.html'
234141,NULL,'Lecture','https://video.technion.ac.il/Courses/Combinatorics_CS.html'
234141,NULL,'Tutorial','https://video.technion.ac.il/Courses/Combinatorics_CS_Tut.html'
234218,NULL,'Lecture','https://video.technion.ac.il/Courses/Data_Structures.html'
234247,NULL,'Lecture','https://video.technion.ac.il/Courses/Algorithms1.html'
234247,NULL,'Tutorial','https://video.technion.ac.il/Courses/intro_to_algorithms_Tut.html'
234293,NULL,'Lecture','https://video.technion.ac.il/Courses/Logic_Set_Theory.html'
234293,NULL,'Tutorial','https://video.technion.ac.il/Courses/Logic_CS_Tut.html'
234319,NULL,'Lecture','https://video.technion.ac.il/Courses/ProgLangs.html'
236350,NULL,'Lecture','https://video.technion.ac.il/Courses/Computer_Security.html'
236353,NULL,'QA','https://video.technion.ac.il/Courses/Automata_Q.html'
236358,NULL,'Lecture','https://video.technion.ac.il/Courses/Adv_Topics_in_Dist_Algorithms.html'
274309,NULL,'Lecture','https://video.technion.ac.il/Courses/Hematology.html'
274314,NULL,'Lecture','https://video.technion.ac.il/Courses/Parasitology.html'
274320,NULL,'Lecture','https://video.technion.ac.il/Courses/MedicalEthics.html'
274323,NULL,'Lecture','https://video.technion.ac.il/Courses/Physiology1.html'
274324,NULL,'Lecture','https://video.technion.ac.il/Courses/Physiology2.html'
274325,NULL,'Lecture','https://video.technion.ac.il/Courses/NeuroSciences.html'
274332,NULL,'Lecture','https://video.technion.ac.il/Courses/Virology.html'
274333,NULL,'Lecture','https://video.technion.ac.il/Courses/Micology.html'
274337,NULL,'Lecture','https://video.technion.ac.il/Courses/Pharmacology.html'
276207,NULL,'Lecture','https://video.technion.ac.il/Courses/Anatomy1.html'
276208,NULL,'Lecture','https://video.technion.ac.il/Courses/Anatomy2.html'
276310,NULL,'Lecture','https://video.technion.ac.il/Courses/Bio_chem.html'
277006,NULL,'Lecture','https://video.technion.ac.il/Courses/Sensory_Sys.html'
314006,NULL,'Lecture','https://video.technion.ac.il/Courses/Microstruct_Character_of_Materials.html'
314011,NULL,'Lecture','https://video.technion.ac.il/Courses/Structure_of_Engineering.html'
314532,NULL,'Tutorial','https://video.technion.ac.il/Courses/Corros_and_Corros_Protect_Tut.html'
315030,NULL,'Tutorial','https://video.technion.ac.il/Courses/PropertiesElecMat_Tut.html'
315052,NULL,'Tutorial','https://video.technion.ac.il/Courses/Transformation_Kinetics_Tut.html'
334012,NULL,NULL,'https://video.technion.ac.il/Courses/BioMed_lab_1.html'
334013,NULL,NULL,'https://video.technion.ac.il/Courses/BioMed_lab_2.html'
336539,NULL,'Lecture','https://video.technion.ac.il/Courses/Respiratory_flows.html'
648002,NULL,'Lecture','https://video.technion.ac.il/Courses/SmallSystemsPhysChem.html'
648002,NULL,'Tutorial','https://video.technion.ac.il/Courses/SmallSystemsPhysChem_Tut.html'